INPUTS
Surface_Temperature(K) Surface_Pressure(MPa) Water_Mass(kg) Rocky_Core_Radius(m) Rocky_Core_Density(kg/m3)
340.0 0.1 4.7776e+22 3052800.0 5500
depth density thermal_expansivity heat_capacity thermal_gradient phase temperature pressure gravity mass
0.0 979.5354773444257 0.0005652524801404602 4188.399976067586 0.00018981116180092993 0.0 340.0 0.1 4.7102328311788515 0.0
3231.182158170625 984.8699032780573 0.0005597702847836559 4161.096316967345 0.0001899086469987931 0.0 340.6133144394328 13.192727063458122 4.704405985140259 3.6934911938512906e+20
6462.36431634125 990.0789661728612 0.0005549257569609424 4135.589849933454 0.00019003228058357032 0.0 341.22694387129764 26.382015185062617 4.698579022958552 3.720886404092021e+20
9693.546474511875 995.1662369686288 0.0005505761482359249 4111.739489271329 0.0001902422565321629 0.0 341.8409727857957 39.65956433692949 4.692751986082434 3.7479139922599136e+20
12924.7286326825 1000.1380958458049 0.0005466149165436595 4089.4023327492514 0.00019051114085343808 0.0 342.4556801708326 53.023923727118316 4.68692491361028 3.7745952620269457e+20
16155.910790853124 1005.0004397336209 0.0005429678405920933 4068.4536194291054 0.00019082076129073693 0.0 343.07125637009096 66.47372220830472 4.6810978435590025 3.8009498865025384e+20
19387.09294902375 1009.7584427295756 0.0005395844440464307 4048.793209805196 0.00019115939321959734 0.0 343.68783300938213 80.00766221149897 4.675270813804122 3.826994981493376e+20
22618.275107194375 1014.4170869269193 0.0005364146539064194 4030.3369252261064 0.000191514190075209 0.0 344.30550383012 93.62451040842134 4.669443862622436 3.8527470932326095e+20
25849.457265365 1018.9810379213305 0.0005334145277608007 4013.002803494493 0.00019187391098315974 0.0 344.9243210641275 107.32309547711284 4.663617028722621 3.878221717325813e+20
29080.639423535624 1023.4544692627281 0.0005305509207392755 3996.7142659264828 0.00019223056797615162 0.0 345.5443006219147 121.10230416626534 4.657790351268171 3.903432616975765e+20
32311.82158170625 1027.8414047807137 0.0005277980811293244 3981.3970053563166 0.00019257849251377133 0.0 346.1654326034143 134.96107495638105 4.651963870639114 3.9283931120399254e+20
35543.003739876876 1032.145830839111 0.0005251408805402517 3966.9724644363328 0.00019291594589561828 0.0 346.7876887924722 148.89839631722168 4.6461376299035955 3.9531165033164256e+20
38774.1858980475 1036.3713985664172 0.000522568861831765 3953.364792443378 0.00019324272741717786 0.0 347.41103535487673 162.9133064743488 4.640311675107524 3.9776149285326894e+20
42005.368056218125 1040.5210156140515 0.0005200626322802829 3940.511804784789 0.00019355462735346656 0.0 348.03543780790335 177.0048891270755 4.634486052012116 4.0018977790997384e+20
45236.55021438875 1044.5979732676212 0.0005176003196802456 3928.363925598582 0.0001938457676254027 0.0 348.66084806643926 191.17226358100268 4.628660801572233 4.025976014522329e+20
48467.732372559374 1048.6057535364323 0.0005151743159615198 3916.86933949872 0.0001941156047899355 0.0 349.2871990522273 205.41459017085015 4.62283595511753 4.049861433033803e+20
51698.91453073 1052.546838561712 0.0005127890926906875 3905.976095776577 0.00019436817400239482 0.0 349.91442193104706 219.7310730908159 4.617011533044066 4.073562071730751e+20
54930.09668890062 1056.4236663959937 0.0005104239645026062 3895.6408440885225 0.00019459759557566102 0.0 350.5424609069998 234.12094697012066 4.611187550221084 4.097085873309602e+20
58161.27884707125 1060.238863241264 0.0005080640604559015 3885.8252505813894 0.00019479982436727594 0.0 351.1712411858468 248.5834764366103 4.605364022195211 4.120441587049088e+20
61392.46100524187 1063.9948039839462 0.0005057300445832114 3876.49072253752 0.00019498443828639843 0.0 351.8006749027571 263.11795886133086 4.599540970359275 4.1436370651600853e+20
64623.6431634125 1067.693469437556 0.0005034380812186942 3867.606054020937 0.00019515913214834175 0.0 352.43070514086907 277.72372109146454 4.593718422643446 4.166678695726779e+20
67854.82532158312 1071.3370335774766 0.0005011699663398521 3859.1496339524138 0.00019531789970105427 0.0 353.06129984667086 292.4001141946093 4.587896410040356 4.189573683394218e+20
71086.00747975375 1074.9276352173142 0.0004989071752670792 3851.096773189697 0.0001954546260017842 0.0 353.6924075593563 307.14651625043865 4.582074963974919 4.2123291626280085e+20
74317.18963792437 1078.4671179783002 0.0004966485499723853 3843.4268184781467 0.000195569692671567 0.0 354.3239570596252 321.9623320144051 4.576254115189593 4.2349511753761076e+20
77548.371796095 1081.957503647217 0.0004943840942475832 3836.119398825944 0.00019565998320784914 0.0 354.95587836126447 336.8469889870674 4.570433893806354 4.257446521898397e+20
80779.55395426562 1085.4006147245173 0.0004921127187993873 3829.14145726271 0.0001957265091009553 0.0 355.58809140807364 351.79994000376536 4.564614328993287 4.2798212798407475e+20
84010.73611243625 1088.7976794340466 0.0004898495453142918 3822.4661431834634 0.00019577646211526637 0.0 356.22051941216165 366.8206606184878 4.558795447688485 4.3020792356017085e+20
87241.91827060687 1092.1501493539959 0.0004875952776974171 3816.083155781913 0.0001958105444615037 0.0 356.85310882353826 381.90864098809556 4.552977273679144 4.324225097573709e+20
90473.1004287775 1095.460081257002 0.0004853466203032642 3809.9789455087534 0.0001958280292922165 0.0 357.48580836118396 397.0633890509694 4.547159828495939 4.3462660203173963e+20
93704.28258694812 1098.728811137119 0.00048310311465636543 3804.128753326609 0.00019582990213291412 0.0 358.1185643955027 412.2844390386194 4.541343132924259 4.3682063577314696e+20
96935.46474511875 1101.9572074281627 0.00048085879677397186 3798.521626957492 0.00019581420727297672 0.0 358.75132648131085 427.57134158587473 4.535527208301333 4.390048642557197e+20
